tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_moment	measurement	method_codes	quality	specimen	treat_temp
this_study:10.1126/science.265.5178.1561	209.3	0.7	c114-10.46:LP-DIR-T:LT-T-Z	2.8546e-06	135	LP-DIR-T:LT-T-Z	g	c114-10.46	573.0
this_study:10.1126/science.265.5178.1561	209.7	0.5	c114-10.46:LP-DIR-T:LT-T-Z	2.3434000000000003e-06	136	LP-DIR-T:LT-T-Z	g	c114-10.46	598.0
this_study:10.1126/science.265.5178.1561	210.1	1.2	c114-10.46:LP-DIR-T:LT-T-Z	1.9146000000000003e-06	137	LP-DIR-T:LT-T-Z	g	c114-10.46	623.0
this_study:10.1126/science.265.5178.1561	208.9	0.2	c114-10.46:LP-DIR-T:LT-T-Z	1.469e-06	138	LP-DIR-T:LT-T-Z	g	c114-10.46	648.0
this_study:10.1126/science.265.5178.1561	209.7	-0.2	c114-10.46:LP-DIR-T:LT-T-Z	1.146e-06	139	LP-DIR-T:LT-T-Z	g	c114-10.46	673.0
this_study:10.1126/science.265.5178.1561	210.6	1.3	c114-10.46:LP-DIR-T:LT-T-Z	8.288000000000001e-07	140	LP-DIR-T:LT-T-Z	g	c114-10.46	698.0
this_study:10.1126/science.265.5178.1561	208.1	2.1	c114-10.46:LP-DIR-T:LT-T-Z	5.889000000000001e-07	141	LP-DIR-T:LT-T-Z	g	c114-10.46	723.0
this_study:10.1126/science.265.5178.1561	211.0	0.1	c114-10.46:LP-DIR-T:LT-T-Z	3.616e-07	142	LP-DIR-T:LT-T-Z	g	c114-10.46	748.0
this_study:10.1126/science.265.5178.1561	212.2	0.7	c114-10.46:LP-DIR-T:LT-T-Z	1.432e-07	143	LP-DIR-T:LT-T-Z	g	c114-10.46	773.0
this_study:10.1126/science.265.5178.1561	216.3	4.2	c114-10.46:LP-DIR-T:LT-T-Z	8.47e-08	144	LP-DIR-T:LT-T-Z	g	c114-10.46	798.0
this_study:10.1126/science.265.5178.1561	205.4	11.5	c114-10.46:LP-DIR-T:LT-T-Z	3.0000000000000004e-08	145	LP-DIR-T:LT-T-Z	g	c114-10.46	823.0
this_study:10.1126/science.265.5178.1561	313.2	-76.3	c114-10.46:LP-DIR-T:LT-T-Z	7.900000000000001e-09	146	LP-DIR-T:LT-T-Z	g	c114-10.46	848.0
